typeID,regionID,date,lowPrice,highPrice,avgPrice,volume,orders
34,10000043,2014-06-26,6.03,6.1,6.0599,4269037409,1092
34,10000002,2014-06-27,6.17,6.22,6.19,19034135436,2087
34,10000030,2014-06-27,5.75,5.8,5.8,1424449294,719
34,10000032,2014-06-27,6.0,6.15,6.07,2335049419,1023
34,10000042,2014-06-27,5.55,5.86,5.84,767162297,540
34,10000043,2014-06-27,6.0,6.12,6.1,4597590511,1055
34,10000002,2014-06-28,6.17,6.23,6.19,24965840992,2592
34,10000030,2014-06-28,5.78,5.8,5.8,2822773739,906
34,10000032,2014-06-28,5.96,5.96,5.96,1873344637,1179
34,10000042,2014-06-28,5.5599,5.86,5.86,1253178625,694
34,10000043,2014-06-28,6.0,6.07,6.04,4473748395,1305
34,10000002,2014-06-29,6.2,6.24,6.22,25390819648,2838
34,10000030,2014-06-29,5.68,5.95,5.8,1381371116,977
34,10000032,2014-06-29,5.88,6.0199,5.95,1882411906,1293
34,10000042,2014-06-29,5.7,5.9,5.85,1458223668,694
34,10000043,2014-06-29,5.98,6.08,6.0199,5162998558,1391
34,10000002,2014-06-30,6.17,6.2,6.19,20741402565,2511
34,10000030,2014-06-30,5.72,5.92,5.8,1190048893,789
34,10000032,2014-06-30,5.98,6.0,5.99,1417414939,1016
34,10000042,2014-06-30,5.61,5.66,5.64,551861044,516
34,10000043,2014-06-30,5.8099,6.0,5.84,4489922131,1152
34,10000002,2014-07-01,6.1,6.17,6.15,20874594004,2172
34,10000030,2014-07-01,5.78,5.84,5.8,1290718110,798
34,10000032,2014-07-01,6.01,6.16,6.11,1405581361,1060
34,10000042,2014-07-01,5.7,5.8,5.71,661039103,536
34,10000043,2014-07-01,5.25,12.47,5.9559,3735085573,972
34,10000002,2014-07-02,6.14,6.18,6.15,27222531283,2222
34,10000030,2014-07-02,5.83,5.9,5.86,1253363250,715
34,10000032,2014-07-02,5.95,6.11,6.01,1637073017,956
34,10000042,2014-07-02,5.55,5.99,5.82,693937138,533
34,10000043,2014-07-02,5.95,6.0,5.96,3988760150,942
34,10000002,2014-07-03,6.13,6.19,6.14,19127723851,2224
34,10000030,2014-07-03,5.88,5.89,5.88,1900699040,722
34,10000032,2014-07-03,5.82,5.97,5.86,1695930343,927
34,10000042,2014-07-03,5.5599,5.95,5.8,1046208807,542
34,10000043,2014-07-03,5.89,6.07,5.91,3125340779,1082
34,10000002,2014-07-04,6.14,6.19,6.17,25578397870,2427
34,10000030,2014-07-04,5.89,5.93,5.9,1194072097,768
34,10000032,2014-07-04,5.9,6.0199,6.0,1446690335,1051
34,10000042,2014-07-04,5.38,5.92,5.75,1714404562,637
34,10000043,2014-07-04,5.91,5.93,5.92,3813963565,1202
34,10000002,2014-07-05,6.1,6.15,6.12,22106979102,2493
34,10000030,2014-07-05,5.72,5.88,5.88,2641031181,851
34,10000032,2014-07-05,5.92,5.96,5.94,1343811720,1052
34,10000042,2014-07-05,5.64,5.79,5.73,871971310,619
34,10000043,2014-07-05,5.91,5.95,5.94,3155327633,1204
34,10000002,2014-07-06,6.09,6.22,6.17,33272144078,2797
34,10000030,2014-07-06,5.65,5.85,5.66,1120421552,991
34,10000032,2014-07-06,5.93,5.94,5.94,2060473834,1104
34,10000042,2014-07-06,5.48,5.88,5.65,1054447765,670
34,10000043,2014-07-06,5.91,6.05,5.96,5948394347,1470
